roadmap,key,size,rating,theme,download,foldername,descript
Getting Started,gen1,20MB,1,General,,Getting Started,Getting started in R and R Studio
,gen2,20MB,1,General,,Essential Packages,
,stat1,20MB,1,Statistics,,Intro to Statistics,
